Tỉnh thành,Ca nhiễm,ma
Hà Nội,1597636,1
TP. Hồ Chí Minh,610.814,79
Nghệ An,484034,40
Bắc Giang,387533,24
Vĩnh Phúc,367316,26
Hải Dương,362924,30
Quảng Ninh,345939,22
Bắc Ninh,343533,27
Bình Dương,320870,74
Phú Thọ,319832,25
Nam Định,295364,36
Thái Bình,292021,34
Hưng Yên,239773,33
Hoà Bình,235828,17
Thái Nguyên,184921,19
Lào Cai,182603,10
Đắk Lắk,170585,66
Thanh Hóa,167353,38
Lạng Sơn,156640,20
Sơn La,150251,14
Cà Mau,145881,96
Tuyên Quang,142144,8
Tây Ninh,137653,72
Bình Định,137015,52
Quảng Bình,123447,44
Hà Giang,121709,2
Hải Phòng,119725,31
Khánh Hòa,117752,56
Bình Phước,117234,70
Bà Rịa - Vũng Tàu,106827,77
Đồng Nai,106629,75
Vĩnh Long,101050,86
Ninh Bình,99209,37
Đà Nẵng,98122,48
Bến Tre,96597,83
Cao Bằng,95136,4
Lâm Đồng,91774,68
Điện Biên,88113,11
Hà Nam,84325,35
Quảng Trị,81459,45
Cần Thơ,76390,92
Trà Vinh,74647,84
Bắc Kạn,73861,6
Lai Châu,73715,12
Đắk Nông,72942,67
Gia Lai,69448,64
Bình Thuận,52456,60
Đồng Tháp,50584,87
Hà Tĩnh,50035,42
Quảng Nam,49217,49
Long An,48979,80
Quảng Ngãi,47469,51
Bạc Liêu,46432,95
Thừa Thiên Huế,46294,46
Phú Yên,42650,54
An Giang,41236,89
Kiên Giang,39789,91
Tiền Giang,36212,82
Sóc Trăng,34349,94
Kon Tum,26139,62
Hậu Giang,17075,93
Ninh Thuận,8639,58
